选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课时间
"08001003","好想法从哪里来：科学佳话的启迪","鱼山校区","讲授","于文功","2.0","32","20","1-17周 一(3-4节)",
"19000208","海洋与大国兴衰*","崂山校区","讲授","卞秀瑜","3.0","48","65","1-17周 五(7-9节)",
"19000207","海洋与大国兴衰*","崂山校区","讲授","卞秀瑜","3.0","48","65","1-17周 三(7-9节)",
"13004001","中日文化交流","崂山校区","讲授","王爱静","2.0","32","50","1-17周 三(3-4节)",
"19000223","海洋与传统中国*","崂山校区","讲授","李尹","3.0","48","65","1-17周 三(5-7节)",
"14001007","中国传统文化导论*","崂山校区","讲授","刘怀荣","3.0","48","60","1-17周 五(5-7节)",
"19000212","改革开放史","崂山校区","讲授","李艳霞 董振娟 黄盛","1.0","16","70","10-17周 一(3-4节)",
"19000211","改革开放史","崂山校区","讲授","李艳霞 董振娟 黄盛","1.0","16","70","1-9周 一(3-4节)",
"19000232","社会主义发展史","西海岸校区","讲授","毕凤晓","1.0","16","50","1-9周 三(3-4节)",
"19000231","社会主义发展史","西海岸校区","讲授","毕凤晓","1.0","16","50","1-9周 一(3-4节)",
"19000206","社会主义发展史","崂山校区","讲授","陆信礼","1.0","16","50","1-9周 四(3-4节)",
"19000205","社会主义发展史","鱼山校区","讲授","陆信礼","1.0","16","50","1-9周 三(5-6节)",
"19000222","中华人民共和国史","崂山校区","讲授","景菲菲","1.0","16","70","10-17周 四(3-4节)",
"19000221","中华人民共和国史","崂山校区","讲授","魏坡","1.0","16","70","1-9周 四(3-4节)",
"19000220","中华人民共和国史","崂山校区","讲授","张吉舜 魏鹤鸣","1.0","16","70","1-9周 三(7-8节)",
"19000219","中华人民共和国史","崂山校区","讲授","张吉舜 魏鹤鸣","1.0","16","70","1-9周 三(5-6节)",
"08001003","好想法从哪里来：科学佳话的启迪","鱼山校区","讲授","于文功","2.0","32","20","1-17周 一(3-4节)",
"19000208","海洋与大国兴衰*","崂山校区","讲授","卞秀瑜","3.0","48","65","1-17周 五(7-9节)",
"19000207","海洋与大国兴衰*","崂山校区","讲授","卞秀瑜","3.0","48","65","1-17周 三(7-9节)",
"13004001","中日文化交流","崂山校区","讲授","王爱静","2.0","32","50","1-17周 三(3-4节)",
"19000223","海洋与传统中国*","崂山校区","讲授","李尹","3.0","48","65","1-17周 三(5-7节)",
"14001007","中国传统文化导论*","崂山校区","讲授","刘怀荣","3.0","48","60","1-17周 五(5-7节)",
"19000212","改革开放史","崂山校区","讲授","李艳霞 董振娟 黄盛","1.0","16","70","10-17周 一(3-4节)",
"19000211","改革开放史","崂山校区","讲授","李艳霞 董振娟 黄盛","1.0","16","70","1-9周 一(3-4节)",
"19000232","社会主义发展史","西海岸校区","讲授","毕凤晓","1.0","16","50","1-9周 三(3-4节)",
"19000231","社会主义发展史","西海岸校区","讲授","毕凤晓","1.0","16","50","1-9周 一(3-4节)",
"19000206","社会主义发展史","崂山校区","讲授","陆信礼","1.0","16","50","1-9周 四(3-4节)",
"19000205","社会主义发展史","鱼山校区","讲授","陆信礼","1.0","16","50","1-9周 三(5-6节)",
"19000222","中华人民共和国史","崂山校区","讲授","景菲菲","1.0","16","70","10-17周 四(3-4节)",
"19000221","中华人民共和国史","崂山校区","讲授","魏坡","1.0","16","70","1-9周 四(3-4节)",
"19000220","中华人民共和国史","崂山校区","讲授","张吉舜 魏鹤鸣","1.0","16","70","1-9周 三(7-8节)",
"19000219","中华人民共和国史","崂山校区","讲授","张吉舜 魏鹤鸣","1.0","16","70","1-9周 三(5-6节)",
"19000218","中华人民共和国史","崂山校区","讲授","曹书林","1.0","16","70","1-9周 五(5-6节)",
"19000217","中华人民共和国史","崂山校区","讲授","曹书林","1.0","16","70","1-9周 五(3-4节)",
"19000216","中国共产党历史（1921-1949）","崂山校区","讲授","孙笑颜","1.0","16","70","1-9周 一(7-8节)",
"19000215","中国共产党历史（1921-1949）","崂山校区","讲授","张运君 王洪兵 刘永祥","1.0","16","70","1-9周 二(5-6节)",
"19000214","中国共产党历史（1921-1949）","崂山校区","讲授","曹书林","1.0","16","70","1-9周 一(5-6节)",
"19000213","中国共产党历史（1921-1949）","崂山校区","讲授","曹书林","1.0","16","70","1-9周 一(3-4节)",
"82105003","剪纸——中国传统艺术系列课","崂山校区","讲授","外聘(通识) 贾建媛","1.0","16","30","3-11周 一(5-6节)",
"82105004","篆刻——中国传统艺术系列课","崂山校区","讲授","外聘(通识) 贾建媛","1.0","16","30","3-11周 五(5-6节)",
"82105001","书法——中国传统艺术系列课","崂山校区","讲授","外聘(通识) 贾建媛","1.0","16","30","3-11周 五(5-6节)",
"82105002","国画－－中国传统艺术系列课","崂山校区","讲授","外聘(通识) 贾建媛","1.0","16","30","3-11周 五(5-6节)",
"18004005","中国民族乐器中的弓弦艺术鉴赏","崂山校区","讲授","王云飞","2.0","32","40","1-17周 一(5-6节)",
"18004002","西方美术鉴赏","西海岸校区","讲授","王宇","2.0","32","50","1-17周 二(5-6节)",
"18004001","西方美术鉴赏","西海岸校区","讲授","王宇","2.0","32","50","1-17周 二(3-4节)",
"14001009","中国现代小说经典选读","崂山校区","讲授","段晓琳","2.0","32","50","1-17周 二(7-8节)",
"14001010","中国古代诗歌经典选读","崂山校区","讲授","马芳","2.0","32","50","1-17周 三(3-4节)",
"18006011","素描","崂山校区","讲授","王宇","2.0","32","25","1-17周 三(7-8节)",
"18006010","素描","崂山校区","讲授","王宇","2.0","32","25","1-17周 三(5-6节)",
"18006009","素描","崂山校区","讲授","王宇","2.0","32","25","1-17周 三(3-4节)",
"14001014","应用文写作","崂山校区","讲授","王小强","2.0","32","50","1-17周 二(3-4节)",
"14001012","古希腊文学与哲学经典选读","崂山校区","讲授","殷振文","2.0","32","50","1-17周 五(7-8节)",
"18004004","科学发声与流行歌曲演唱","崂山校区","讲授","孙道东","2.0","32","35","1-17周 三(3-4节)",
"20003020","当代政府与市场","崂山校区","讲授","于洋","2.0","32","100","1-17周 三(10-11节);1-9周 四(1-2节)",
"20001016","海洋法基础","崂山校区","讲授","金永明","2.0","32","50","1-9周 二(1-2节)",
"11002002","会计、企业与社会*","崂山校区","讲授","王竹泉 王苑琢 孙莹","3.0","48","60","1-17周 四(10-12节)",
"11002001","会计、企业与社会*","崂山校区","讲授","王竹泉 王苑琢 孙莹","3.0","48","60","1-17周 二(10-12节)",
"06002064","中国渔文化","鱼山校区","讲授","王巧晗","2.0","32","60","1-17周 一(5-6节)",
"02001003","思考与学习*","崂山校区","讲授","李颖","3.0","48","50","1-17周 三(7-9节)",
"02001002","思考与学习*","崂山校区","讲授","李颖","3.0","48","50","1-17周 二(7-9节)",
"11001002","企业经营决策模拟","崂山校区","讲授","张竞元","2.0","32","40","1-9周 三(5-8节)",
"18002003","学会学习","崂山校区","讲授","刘世玉","2.0","32","40","1-17周 二(5-6节)",
"18002002","学会学习","崂山校区","讲授","刘世玉","2.0","32","40","1-17周 二(3-4节)",
"18002008","理解与使用大脑","崂山校区","讲授","陈凯泉","2.0","32","60","1-17周 五(7-8节);1-9周 三(8-9节)",
"03002084","诺贝尔奖与海洋科学","崂山校区","讲授","包锐","2.0","32","40","1-9周 一(8-9节)",
"08001001","关注健康与安全用药","鱼山校区","讲授","万升标 方玉春","2.0","32","40","1-17周 四(3-4节)",
"10002043","一滴水的城市之旅","崂山校区","讲授","赵阳国","2.0","32","50","1-17周 五(7-8节)",
"09003001","开海重器-走进海洋工程","崂山校区","讲授","徐琨","2.0","32","40","1-17周 三(3-4节)",
"17001001","经方医学与健康","西海岸校区","讲授","黄翔","2.0","32","100","1-17周 四(3-4节)",
"09101002","3D打印和激光加工-把想象变成现实","崂山校区","讲授","刘永辉 舒睿 李辰","2.0","32","50","1-12周 五(7-9节)",
"09101001","工程认知实践体验","崂山校区","讲授","刘贵杰 孙竹","2.0","32","60","1-9周 六(5-8节)",
"16001103","微积分的力量","崂山校区","讲授","王建","2.0","32","50","1-17周 二(3-4节)",
"09004003","创客单片机入门——可视化设计","崂山校区","讲授","刘滨 刘博闻 綦声波","2.0","32","40","1-17周 六(3-4节)",
"09004002","创客单片机入门——可视化设计","崂山校区","讲授","刘滨 刘博闻 綦声波","2.0","32","40","1-17周 六(1-2节)",
"04010002","海洋大历史","崂山校区","讲授","郭玲莉 李三忠 王鹏程","2.0","32","50","1-17周 一(5-6节)",
"04010001","海洋大历史","崂山校区","讲授","王鹏程 李三忠 郭玲莉","2.0","32","50","1-17周 三(5-6节)",
"10001040","科技论文写作技巧","崂山校区","讲授","潘进芬","2.0","32","50","10-17周 六(1-4节)",
"10001041","百年重大环境事件浅谈","崂山校区","讲授","姚小红 张潮","2.0","32","50","1-17周 二(5-6节)",
"04003002","在海洋中给地球做CT","崂山校区","讲授","张进 刘怀山 王林飞","2.0","32","50","1-17周 五(3-4节)",
"04003001","在海洋中给地球做CT","崂山校区","讲授","邢磊 刘怀山 尹燕欣","2.0","32","50","1-17周 四(3-4节)",
