选课号,课程,开课校区,授课方式,授课老师,学分,总学时,限选人数,上课教室,课程类型,上课时间
"12001031","统计学","崂山校区","讲授","赵艳平","3.0","48","74","","Specialty","1-17周 一(5-7节)",
"12001011","会计学","崂山校区","讲授","单春红","3.0","48","122","7118","Specialty","1-17周 五(5-7节)",
"12001085","国际投资与跨国管理","崂山校区","讲授","黄友星","3.0","48","64","7210","Specialty","1-17周 一(5-7节)",
"12001012","统计学","崂山校区","讲授","李剑","3.0","64","83","7118","Specialty","1-17周 二(5-6节)",
"","","","","","","","","经院108","Specialty","1-17周 五(3-4节)双",
"12001083","国际商法","崂山校区","讲授","刘莹","2.0","32","64","7210","Specialty","1-17周 四(1-2节)",
"12001086","外贸英语函电","崂山校区","讲授","张小凡","2.0","36","64","7206","Specialty","1-17周 一(3-4节)",
"12001010","国际贸易实务","崂山校区","讲授","刘莹","3.0","48","122","7118","Specialty","1-17周 二(7-9节)",
"12001087","中国对外贸易理论与政策","崂山校区","讲授","戴桂林","3.0","48","64","7206","Specialty","1-17周 三(5-7节)",
"12001101","海洋渔业经济与管理","崂山校区","讲授","苏萌","2.0","32","31","7210","Specialty","1-17周 五(3-4节)",
"12001100","海洋生态经济学","崂山校区","讲授","许志华","2.0","32","31","7208","Specialty","1-17周 一(5-6节)",
"12001106","决策博弈论","崂山校区","讲授","高金伍","2.0","32","31","7210","Specialty","1-17周 二(7-8节)",
"12001030","世界市场行情","崂山校区","讲授","王福年","2.0","32","74","","Specialty","1-17周 五(3-4节)",
"12001067","国际商务沟通与谈判（双语）","崂山校区","讲授","付秀梅","3.0","56","96","","Specialty","1-13周 二(7-8节)",
"","","","","","","","","","Specialty","1-13周 三(8-9节)",
"12001104","计量经济学实验","崂山校区","讲授","任仙玲","0.5","16","64","","Specialty","1-17周 五(1-2节)双",
"12001018","毕业实习","崂山校区","讲授","黄友星","4.0","0","88","","Specialty","1-6周",
"12001017","毕业论文","崂山校区","讲授","黄友星","8.0","0","88","","Specialty","1-6周",
"12002094","大学生职业发展教育Ⅲ","崂山校区","讲授","迟瑞娟","1.0","16","50","","Specialty","1-9周 三(3-4节)",
"12002095","大学生职业发展教育Ⅲ","崂山校区","讲授","孙鹏静","1.0","16","50","经院101","Specialty","1-9周 二(5-6节)",
"12001076","管理学原理","崂山校区","讲授","苏萌","3.0","48","155","","Specialty","1-17周 二(7-9节)",
"12002058","国际贸易理论与实务","崂山校区","讲授","周罡 高新月","2.0","32","64","7210","Specialty","1-17周 三(7-8节)",
"12002064","宏观经济学","崂山校区","讲授","赵领娣 纪玉俊 许罕多","3.0","50","100","7118","Specialty","1-17周 一(5-7节)",
"12002086","宏观经济学（双语）","崂山校区","讲授","许罕多 赵领娣 纪玉俊","3.0","50","58","7205","Specialty","1-17周 三(5-7节)",
"12002063","管理学原理","崂山校区","讲授","许冬兰","2.0","32","121","","Specialty","1-17周 五(5-6节)",
"12002056","财政学","崂山校区","讲授","罗斯丹","2.0","32","64","7210","Specialty","1-17周 二(5-6节)",
"12002052","经济法","崂山校区","讲授","罗斯丹","2.0","32","73","","Specialty","1-17周 五(5-6节)",
"12002057","国际金融","崂山校区","讲授","魏晓琴 王彤宇 丁黎黎","3.0","50","64","7210","Specialty","1-17周 五(5-7节)",
"12002079","国际金融","崂山校区","讲授","王彤宇 魏晓琴 丁黎黎","3.0","50","60","7115","Specialty","1-17周 一(5-7节)",
"12002059","计量经济学","崂山校区","讲授","尹兴民 刘妍 刘浩东","3.0","48","64","7208","Specialty","1-17周 一(7-8节)双",
"","","","","","","","","7206","Specialty","1-17周 五(3-4节)",
"12002081","计量经济学","崂山校区","讲授","刘妍 尹兴民 刘浩东","3.0","48","60","7208","Specialty","1-17周 三(5-7节)",
"12002067","中级微观经济学","崂山校区","讲授","张继华","2.0","32","61","7208","Specialty","1-17周 二(3-4节)",
"12002066","统计学","崂山校区","讲授","刘浩东","2.0","34","61","7208","Specialty","1-17周 四(3-4节)",
"12002088","统计学","崂山校区","讲授","刘浩东","2.0","34","58","7210","Specialty","1-17周 二(3-4节)",
"12002080","国际贸易理论与实务（双语）","崂山校区","讲授","徐胜 李小林","2.0","32","60","7116","Specialty","1-17周 二(3-4节)",
"12002071","金融法","崂山校区","讲授","魏晓琴","2.0","32","54","7206","Specialty","1-17周 五(1-2节)",
"12002050","金融营销学","崂山校区","讲授","孟昭苏","2.0","38","129","","Specialty","1-13周 四(3-4节)",
"","","","","","","","","","Specialty","1-4周 一(5-6节)",
"12002061","金融市场学","崂山校区","讲授","徐伟呈","2.0","35","125","7118","Specialty","1-17周 三(5-6节)",
"12002082","金融工程（双语）","崂山校区","讲授","赵树然 刘浩东 刘妍","3.0","51","60","7206","Specialty","1-17周 二(5-7节)",
"12002078","固定收益证券（双语）","崂山校区","讲授","李启佳 郭晶","2.0","32","60","7208","Specialty","1-17周 五(3-4节)",
"12002054","行为金融学（双语）","崂山校区","讲授","丁黎黎 王垒","2.0","32","129","7118","Specialty","1-17周 二(3-4节)",
"12002049","金融风险管理","崂山校区","讲授","郭晶","3.0","50","73","","Specialty","1-17周 三(5-7节)",
"12002073","金融风险管理（双语）","崂山校区","讲授","郭晶","2.0","34","54","7206","Specialty","1-17周 三(1-2节)",
"12002062","运筹学","崂山校区","讲授","刘妍 刘浩东 赵树然","2.0","34","126","7118","Specialty","1-17周 一(3-4节)",
"12002083","金融市场与股权投资（双语）","崂山校区","讲授","徐伟呈","3.0","51","60","7208","Specialty","1-17周 三(3-4节)",
"","","","","","","","","7208","Specialty","1-17周 四(1-2节)单",
"12002060","金融工程","崂山校区","讲授","刘浩东 赵树然 刘妍","3.0","51","64","7210","Specialty","1-17周 三(3-4节)",
"","","","","","","","","7208","Specialty","1-17周 四(1-2节)双",
"12002087","金融市场学（双语）","崂山校区","讲授","徐伟呈","3.0","51","58","7210","Specialty","1-17周 三(1-2节)双",
"","","","","","","","","7210","Specialty","1-17周 四(3-4节)",
"12002051","金融原著选读（双语）","崂山校区","讲授","孟昭苏","2.0","32","73","","Specialty","1-13周 二(7-8节)",
"","","","","","","","","","Specialty","5-9周 一(5-6节)",
"12002046","保险理论与精算实务（双语）","崂山校区","讲授","郑慧","2.0","38","73","","Specialty","1-17周 五(1-2节)",
"12002069","保险理论与精算实务（双语）","崂山校区","讲授","郑慧","2.0","38","54","7206","Specialty","1-17周 四(1-2节)",
"12002047","国际结算（双语）","崂山校区","讲授","高新月","2.0","34","96","","Specialty","1-17周 五(7-8节)",
"12002070","国际结算（双语）","崂山校区","讲授","李小林","2.0","34","129","7118","Specialty","1-17周 五(3-4节)",
"12002001","毕业论文","崂山校区","讲授","刘浩东","8.0","0","86","","Specialty","1-13周",
"12002068","毕业论文","崂山校区","讲授","郭晶","8.0","0","63","","Specialty","1-13周",
"12002053","信托与租赁","崂山校区","讲授","魏晓琴","2.0","34","129","","Specialty","1-17周 三(3-4节)",
"12002055","证券业务实操","崂山校区","讲授","王元月 张同辉","0.5","12","50","","Specialty","10-15周 一(5-6节)",
"12002089","金融分析软件与应用","崂山校区","讲授","张同辉","1.5","32","129","7118","Specialty","1-13周 一(1-2节)",
"12001077","宏观经济学","崂山校区","讲授","纪玉俊 赵领娣 许罕多","3.0","50","118","","Specialty","1-17周 三(5-7节)",
"12001107","区域经济学","崂山校区","讲授","李福柱","3.0","48","31","7116","Specialty","1-17周 三(5-7节)",
"12001103","计量经济学","崂山校区","讲授","任仙玲","3.0","48","64","7208","Specialty","1-17周 三(1-2节)",
"","","","","","","","","7208","Specialty","1-17周 五(1-2节)单",
"12001026","公共经济学","崂山校区","讲授","汪克亮","2.0","32","109","7118","Specialty","1-17周 三(3-4节)",
"12001029","金融学","崂山校区","讲授","王垒","3.0","48","109","7118","Specialty","1-17周 三(7-9节)",
"12001078","中级微观经济学","崂山校区","讲授","于李娜","2.0","32","84","","Specialty","1-17周 四(3-4节)",
"12001112","资源与环境经济学","崂山校区","讲授","李京梅","3.0","48","35","7206","Specialty","1-17周 一(5-7节)",
"12001102","海洋政策与法律","崂山校区","讲授","周罡","2.0","32","31","7208","Specialty","1-17周 一(1-2节)",
"12001108","抽样调查与调查方法","崂山校区","讲授","许志华","2.0","40","35","7116","Specialty","1-17周 四(1-2节)",
"12001098","毕业实习","崂山校区","讲授","汪克亮","4.0","0","55","","Specialty","1-6周",
"12001097","毕业论文","崂山校区","讲授","汪克亮","8.0","0","55","","Specialty","1-6周",
"15002018","亚利桑那大学入学导航2","崂山校区","讲授","外教(法学中美班)","0.5","8","122","","Specialty","1-17周 日(10-11节)",
"15002001","大学生职业发展教育Ⅱ","崂山校区","讲授","郭增乐","0.5","8","20","","Specialty","4-7周 五(3-4节)",
"15002076","大学生职业发展教育Ⅲ","崂山校区","讲授","李文慧","1.0","16","30","","Specialty","4-11周 五(7-8节)",
"15002013","社会科学研究方法","崂山校区","讲授","赵雷","2.0","32","130","","Specialty","1-17周 四(10-11节)",
"15002011","国际法学","崂山校区","讲授","陈奕彤","2.0","32","130","","Specialty","1-17周 五(7-8节)",
"15002039","国际私法学","崂山校区","讲授","高雅琦","2.0","32","130","","Specialty","1-17周 二(3-4节)",
"15002042","经济学概论","崂山校区","讲授","胡伟强","2.0","32","130","","Specialty","1-17周 二(7-8节)",
"15002017","行政法与政策治理","崂山校区","讲授","郭越涛","4.0","64","130","","Specialty","1-17周 二(5-6节)",
"","","","","","","","","","Specialty","1-17周 三(3-4节)",
"15002008","行政法与行政诉讼法学","崂山校区","讲授","陈书全 孙明烈","4.0","64","240","","Specialty","1-17周 一(3-4节)",
"","","","","","","","","","Specialty","1-17周 四(1-2节)",
"15002004","刑法学（总论）","崂山校区","讲授","王越","3.0","48","60","","Specialty","1-17周 三(7-9节)",
"15002005","刑法学（总论）","崂山校区","讲授","贾占旭","3.0","48","60","","Specialty","1-17周 三(7-9节)",
"15002006","刑法学（总论）","崂山校区","讲授","胡宗金","3.0","48","60","","Specialty","1-17周 五(7-9节)",
"15002007","刑法学（总论）","崂山校区","讲授","王倩云","3.0","48","60","","Specialty","1-17周 五(7-9节)",
"15002075","刑事诉讼法","崂山校区","讲授","吕泽华","4.0","64","240","","Specialty","1-17周 一(1-2节)",
"","","","","","","","","","Specialty","1-17周 三(1-2节)",
"15002009","中国法律史","崂山校区","讲授","颜丽媛","2.0","32","120","","Specialty","1-17周 三(3-4节)",
"15002010","中国法律史","崂山校区","讲授","李勤通","2.0","32","120","","Specialty","1-17周 四(10-11节)",
"15002012","民法学","崂山校区","讲授","马晓莉","2.0","32","130","","Specialty","1-17周 二(1-2节)",
"15002047","美国普通法Ⅱ","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院502-4","Specialty","1-17周 二(1-2节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 四(1-2节)单",
"15002048","美国普通法Ⅱ","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院502-4","Specialty","1-17周 二(3-4节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 四(1-2节)双",
"15002049","美国普通法Ⅱ","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院105-9","Specialty","1-17周 二(1-2节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 四(3-4节)单",
"15002050","美国普通法Ⅱ","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院105-9","Specialty","1-17周 二(3-4节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 四(3-4节)双",
"15002043","美国公法","崂山校区","讲授","外教(法学中美班)","4.0","72","30","","Specialty","1-17周 二(5-6节)",
"","","","","","","","","","Specialty","1-17周 五(5-6节)单",
"15002044","美国公法","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院502-4","Specialty","1-17周 二(7-8节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 五(7-8节)单",
"15002045","美国公法","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院502-4","Specialty","1-17周 三(5-6节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 五(5-6节)双",
"15002046","美国公法","崂山校区","讲授","外教(法学中美班)","4.0","72","30","法学院502-4","Specialty","1-17周 三(7-8节)",
"","","","","","","","","法学院502-4","Specialty","1-17周 五(7-8节)双",
"15002025","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7409（研讨）","Specialty","1-8周 一(1-2节)",
"","","","","","","","","7409（研讨）","Specialty","1-8周 三(1-2节)",
"","","","","","","","","7409（研讨）","Specialty","1-8周 五(1-2节)",
"15002026","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7409（研讨）","Specialty","1-8周 一(3-4节)",
"","","","","","","","","7409（研讨）","Specialty","1-8周 三(3-4节)",
"","","","","","","","","7409（研讨）","Specialty","1-8周 五(3-4节)",
"15002027","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7309（研讨）","Specialty","1-8周 一(1-2节)",
"","","","","","","","","7309（研讨）","Specialty","1-8周 三(1-2节)",
"","","","","","","","","7309（研讨）","Specialty","1-8周 五(1-2节)",
"15002028","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7309（研讨）","Specialty","1-8周 一(3-4节)",
"","","","","","","","","7309（研讨）","Specialty","1-8周 三(3-4节)",
"","","","","","","","","7309（研讨）","Specialty","1-8周 五(3-4节)",
"15002029","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7307（研讨）","Specialty","1-8周 一(1-2节)",
"","","","","","","","","7307（研讨）","Specialty","1-8周 三(1-2节)",
"","","","","","","","","7307（研讨）","Specialty","1-8周 五(1-2节)",
"15002030","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7307（研讨）","Specialty","1-8周 一(3-4节)",
"","","","","","","","","7307（研讨）","Specialty","1-8周 三(3-4节)",
"","","","","","","","","7307（研讨）","Specialty","1-8周 五(3-4节)",
"15002031","高级英语Ⅰ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7407（研讨）","Specialty","1-8周 一(1-2节)",
"","","","","","","","","7407（研讨）","Specialty","1-8周 三(1-2节)",
"","","","","","","","","7407（研讨）","Specialty","1-8周 五(1-2节)",
"15002032","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7409（研讨）","Specialty","9-17周 一(1-2节)",
"","","","","","","","","7409（研讨）","Specialty","9-17周 三(1-2节)",
"","","","","","","","","7409（研讨）","Specialty","9-17周 五(1-2节)",
"15002033","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7409（研讨）","Specialty","9-17周 一(3-4节)",
"","","","","","","","","7409（研讨）","Specialty","9-17周 三(3-4节)",
"","","","","","","","","7409（研讨）","Specialty","9-17周 五(3-4节)",
"15002034","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7309（研讨）","Specialty","9-17周 一(1-2节)",
"","","","","","","","","7309（研讨）","Specialty","9-17周 三(1-2节)",
"","","","","","","","","7309（研讨）","Specialty","9-17周 五(1-2节)",
"15002035","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7309（研讨）","Specialty","9-17周 一(3-4节)",
"","","","","","","","","7309（研讨）","Specialty","9-17周 三(3-4节)",
"","","","","","","","","7309（研讨）","Specialty","9-17周 五(3-4节)",
"15002036","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7307（研讨）","Specialty","9-17周 一(1-2节)",
"","","","","","","","","7307（研讨）","Specialty","9-17周 三(1-2节)",
"","","","","","","","","7307（研讨）","Specialty","9-17周 五(1-2节)",
"15002037","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7307（研讨）","Specialty","9-17周 一(3-4节)",
"","","","","","","","","7307（研讨）","Specialty","9-17周 三(3-4节)",
"","","","","","","","","7307（研讨）","Specialty","9-17周 五(3-4节)",
"15002038","高级英语Ⅱ— 英语写作","崂山校区","讲授","外教(法学中美班)","3.0","48","18","7407（研讨）","Specialty","9-17周 一(1-2节)",
"","","","","","","","","7407（研讨）","Specialty","9-17周 三(1-2节)",
"","","","","","","","","7407（研讨）","Specialty","9-17周 五(1-2节)",
"15002019","专业英语II—听说读写","崂山校区","讲授","王宁","4.0","64","22","","Specialty","1-17周 一(3-4节)",
"","","","","","","","","7307（研讨）","Specialty","1-17周 二(8-9节)",
"15002020","专业英语II—听说读写","崂山校区","讲授","王宁","4.0","64","22","7307（研讨）","Specialty","1-17周 一(7-8节)",
"","","","","","","","","7307（研讨）","Specialty","1-17周 四(1-2节)",
"15002021","专业英语II—听说读写","崂山校区","讲授","王宁","4.0","64","22","7307（研讨）","Specialty","1-17周 二(3-4节)",
"","","","","","","","","7307（研讨）","Specialty","1-17周 四(3-4节)",
